"cust.id"	"income"	"num.vehicles"	"age"	"age.normalized"	"Median.Income"	"income.norm"	"gp"	"income.lt.30K"	"age.range"
"787"	281529	0	3	41	-0.567225189556119	52758	0	0.798608530545607	TRUE	"(25,65]"
"802"	438304	9700	1	77	1.34122907835114	52758	0.18385837219	0.333801565226167	TRUE	"(65,Inf]"
"863"	103389	130000	1	41	-0.567225189556119	54879	2.36884782885986	0.555946600856259	FALSE	"(25,65]"
"247"	110024	18960	2	83	1.65930478966902	61308	0.309258171853592	0.187805050285533	TRUE	"(65,Inf]"
"186"	1165631	41000	1	37	-0.779275663768037	56895	0.720625714034625	0.457195005379617	FALSE	"(25,65]"
"166"	837381	10800	NA	20	-1.68049017916869	61154	0.1766033292998	0.547122788382694	TRUE	"[0,25]"
"584"	811443	10200	1	26	-1.36241446785081	68187	0.149588631264024	0.560588283231482	TRUE	"(25,65]"
"149"	835830	51000	3	41	-0.567225189556119	39832	1.28037758586061	0.6962331966497	FALSE	"(25,65]"
"505"	861489	17000	1	56	0.227964088738573	37427	0.45421754348465	0.853613878134638	TRUE	"(25,65]"
"967"	1281448	10600	2	47	-0.249149478238242	64095	0.165379514782744	0.0816582189872861	TRUE	"(25,65]"
"86"	1269661	13600	2	59	0.387001944397512	39832	0.341434022896164	0.301209136145189	TRUE	"(25,65]"
"549"	1259643	0	1	57	0.280976707291553	68187	0	0.28218255424872	TRUE	"(25,65]"
"606"	149480	0	2	46	-0.302162096791222	44819	0	0.386174226179719	TRUE	"(25,65]"
"336"	536879	0	3	53	0.0689262330796348	52781	0	0.710293030366302	TRUE	"(25,65]"
"445"	37224	25800	2	48	-0.196136859685263	62634	0.411916850273015	0.955558279296383	TRUE	"(25,65]"
"462"	79069	30000	1	40	-0.620237808109099	62634	0.478973081712808	0.59464597934857	FALSE	"(25,65]"
"87"	505318	26400	1	36	-0.832288282321016	39832	0.662783691504318	0.819395831087604	TRUE	"(25,65]"
"456"	1140973	36000	2	43	-0.46119995245016	62634	0.574767698055369	0.928278348408639	FALSE	"(25,65]"
"134"	996953	0	3	35	-0.885300900873996	39832	0	0.431511427974328	TRUE	"(25,65]"
"263"	620452	17000	1	46	-0.302162096791222	49293	0.344876554480352	0.82221990195103	TRUE	"(25,65]"
"786"	914187	83000	3	25	-1.41542708640379	48137	1.72424538296944	0.484575773356482	FALSE	"[0,25]"
"164"	76182	18200	1	41	-0.567225189556119	61154	0.297609314190405	0.278376619098708	TRUE	"(25,65]"
"856"	1068855	171000	6	59	0.387001944397512	54879	3.1159459902695	0.162125353701413	FALSE	"(25,65]"
"940"	349344	77000	4	55	0.174951470185594	49172	1.5659318311234	0.651435433654115	FALSE	"(25,65]"
"669"	832866	6000	2	57	0.280976707291553	44819	0.133871795443897	0.49544421210885	TRUE	"(25,65]"
"515"	489718	0	0	21	-1.62747756061571	37427	0	0.69851316511631	TRUE	"[0,25]"
"750"	622713	40000	4	44	-0.408187333897181	52176	0.766636001226618	0.682878735242411	FALSE	"(25,65]"
"601"	1348440	213000	2	62	0.54603980005645	44819	4.75244873825833	0.881929706782103	FALSE	"(25,65]"
"655"	179481	2000	3	53	0.0689262330796348	44819	0.0446239318146322	0.975152873666957	TRUE	"(25,65]"
"562"	106726	39000	1	53	0.0689262330796348	68187	0.571956531303621	0.296179607277736	FALSE	"(25,65]"
"410"	583934	24000	2	69	0.917128129927307	66928	0.35859431030361	0.318157502450049	TRUE	"(65,Inf]"
"684"	430516	20000	1	81	1.55327955256306	44819	0.446239318146322	0.310454075457528	TRUE	"(65,Inf]"
"819"	925421	35600	2	49	-0.143124241132283	52758	0.674779180408658	0.573639776557684	FALSE	"(25,65]"
"874"	1032120	184000	2	41	-0.567225189556119	50977	3.60947093787394	0.682316863676533	FALSE	"(25,65]"
"188"	458212	170000	2	34	-0.938313519426975	56895	2.98796027770454	0.752585905371234	FALSE	"(25,65]"
"248"	2068	11300	2	49	-0.143124241132283	49293	0.229241474448705	0.524620275013149	TRUE	"(25,65]"
"877"	716518	35050	3	44	-0.408187333897181	50977	0.687564980285227	0.842456110753119	FALSE	"(25,65]"
"8"	467335	42600	1	33	-0.991326137979955	52371	0.813427278455634	0.325397768057883	FALSE	"(25,65]"
"414"	50220	22300	1	85	1.76533002677498	66928	0.333193879990437	0.117889562621713	TRUE	"(65,Inf]"
"788"	1121202	116000	2	37	-0.779275663768037	52758	2.19871867773608	0.628490932518616	FALSE	"(25,65]"
"19"	492072	80000	4	49	-0.143124241132283	65720	1.21728545343883	0.446818600175902	FALSE	"(25,65]"
"208"	426154	10200	0	76	1.28821645979816	56895	0.179277616662273	0.0443093439098448	TRUE	"(65,Inf]"
"159"	841342	85050	3	62	0.54603980005645	59209	1.4364370281545	0.350506747839972	FALSE	"(25,65]"
"881"	1407195	33000	1	30	-1.15036399363889	50977	0.64735076603174	0.0393339265137911	FALSE	"(25,65]"
"89"	1169067	165100	4	71	1.02315336703327	39832	4.14490861618799	0.851260213414207	FALSE	"(65,Inf]"
"392"	1010216	14800	6	28	-1.25638923074485	49572	0.298555636246268	0.258164249127731	TRUE	"(25,65]"
"491"	1213522	15400	2	58	0.333989325844532	58094	0.265087616621338	0.563656993443146	TRUE	"(25,65]"
"259"	236067	140000	1	46	-0.302162096791222	49293	2.84015986042643	0.735240730922669	FALSE	"(25,65]"
"273"	487369	22000	1	48	-0.196136859685263	49293	0.446310835209868	0.431252299807966	TRUE	"(25,65]"
"719"	1024809	18000	1	24	-1.46843970495677	52176	0.344986200551978	0.512757536955178	TRUE	"[0,25]"
"216"	618036	38200	2	41	-0.567225189556119	56895	0.671412250637139	0.359758600126952	FALSE	"(25,65]"
"759"	528994	0	NA	44	-0.408187333897181	52176	0	0.731773371109739	TRUE	"(25,65]"
"752"	167498	45000	1	32	-1.04433875653293	52176	0.862465501379945	0.268322055926546	FALSE	"(25,65]"
"222"	1262853	8000	NA	20	-1.68049017916869	47353	0.168943889510696	0.521593017037958	TRUE	"[0,25]"
"111"	857511	30	4	54	0.121938851632614	39832	0.000753163285800362	0.889517271658406	TRUE	"(25,65]"
"9"	462569	22000	0	89	1.9773805009869	52371	0.420079815164881	0.508961108978838	TRUE	"(65,Inf]"
"935"	1310634	18000	0	24	-1.46843970495677	41979	0.42878582148217	0.0770957726053894	TRUE	"[0,25]"
"760"	756752	17300	2	29	-1.20337661219187	52176	0.331570070530512	0.0437199166044593	TRUE	"(25,65]"
"416"	1127889	64270	2	55	0.174951470185594	66928	0.960285680133875	0.720427755499259	FALSE	"(25,65]"
"94"	994628	0	2	29	-1.20337661219187	39832	0	0.0275704660452902	TRUE	"(25,65]"
"986"	415381	109170	2	39	-0.673250426662078	41073	2.65795047841648	0.866889480734244	FALSE	"(25,65]"
"968"	1051439	96000	2	40	-0.620237808109099	64095	1.49777673765504	0.131232068641111	FALSE	"(25,65]"
"103"	146457	49000	2	35	-0.885300900873996	39832	1.23016670014059	0.819738687947392	FALSE	"(25,65]"
"668"	618059	15800	2	89	1.9773805009869	44819	0.352529061335594	0.0819024918600917	TRUE	"(65,Inf]"
"31"	253015	30000	3	35	-0.885300900873996	48484	0.618760828314496	0.513576715486124	FALSE	"(25,65]"
"663"	298205	110450	2	38	-0.726263045215058	44819	2.46435663446306	0.609248765744269	FALSE	"(25,65]"
"914"	18487	89200	1	63	0.59905241860943	41979	2.12487195978942	0.450477252248675	FALSE	"(25,65]"
"943"	1335632	28500	1	56	0.227964088738573	53914	0.528619653522276	0.894196663750336	TRUE	"(25,65]"
"118"	56040	0	2	39	-0.673250426662078	39832	0	0.349825690034777	TRUE	"(25,65]"
"220"	8521	120000	1	39	-0.673250426662078	47353	2.53415834266044	0.137388342991471	FALSE	"(25,65]"
"840"	1194722	3160	0	40	-0.620237808109099	52758	0.0598961294969483	0.779192558256909	TRUE	"(25,65]"
"421"	1152642	0	1	54	0.121938851632614	66928	0	0.0477657143492252	TRUE	"(25,65]"
"35"	1358975	92000	1	46	-0.302162096791222	48484	1.89753320683112	0.821449507260695	FALSE	"(25,65]"
"531"	545826	20300	0	78	1.39424169690412	43607	0.465521590570321	0.582686783047393	TRUE	"(65,Inf]"
"113"	999444	24000	2	24	-1.46843970495677	39832	0.602530628640289	0.495107950875536	TRUE	"[0,25]"
"969"	268667	200	NA	31	-1.09735137508591	64095	0.00312036820344801	0.00786872324533761	TRUE	"(25,65]"
"459"	1216112	46000	1	41	-0.567225189556119	62634	0.734425391959639	0.823104239068925	FALSE	"(25,65]"
"32"	399930	55000	2	42	-0.51421257100314	48484	1.13439485190991	0.76444373652339	FALSE	"(25,65]"
"14"	416144	82000	2	44	-0.408187333897181	44191	1.85558145323708	0.306658288929611	FALSE	"(25,65]"
"474"	1095968	69500	1	46	-0.302162096791222	50118	1.3867273235165	0.867566561093554	FALSE	"(25,65]"
"822"	761380	71800	2	34	-0.938313519426975	52758	1.36093104363319	0.345844328403473	FALSE	"(25,65]"
"674"	1400440	0	NA	37	-0.779275663768037	44819	0	0.622958352556452	TRUE	"(25,65]"
"120"	352275	36000	3	58	0.333989325844532	39832	0.903795942960434	0.574060792569071	FALSE	"(25,65]"
"773"	573573	30000	2	28	-1.25638923074485	48567	0.617703378837482	0.839339185738936	FALSE	"(25,65]"
"685"	556935	120000	3	60	0.440014562950491	52683	2.27777461420192	0.505184363108128	FALSE	"(25,65]"
"482"	1068379	80700	1	61	0.493027181503471	50118	1.61019992816952	0.583779310807586	FALSE	"(25,65]"
"490"	789913	30300	2	68	0.864115511374327	58094	0.521568492443282	0.724751260131598	FALSE	"(65,Inf]"
"363"	17134	220000	2	33	-0.991326137979955	43860	5.01595987232102	0.84990285965614	FALSE	"(25,65]"
"175"	463808	90000	3	46	-0.302162096791222	61154	1.47169441083167	0.793375340057537	FALSE	"(25,65]"
"342"	1239496	104000	2	33	-0.991326137979955	48451	2.14649852428226	0.342695858329535	FALSE	"(25,65]"
"200"	147984	0	1	49	-0.143124241132283	56895	0	0.961548142600805	TRUE	"(25,65]"
"116"	908928	32000	4	56	0.227964088738573	39832	0.803374171520386	0.853042878909037	FALSE	"(25,65]"
"712"	423910	192000	4	58	0.333989325844532	44393	4.32500619467033	0.728476736694574	FALSE	"(25,65]"
"204"	511732	0	NA	32	-1.04433875653293	56895	0	0.68368440726772	TRUE	"(25,65]"
"6"	674271	0	1	54	0.121938851632614	52371	0	0.329508487368003	TRUE	"(25,65]"
"496"	1090019	34000	2	57	0.280976707291553	58094	0.585258374358798	0.473238279810175	FALSE	"(25,65]"
"660"	1411132	46000	1	56	0.227964088738573	44819	1.02635043173654	0.691916871117428	FALSE	"(25,65]"
"313"	1267710	68000	2	42	-0.51421257100314	55534	1.22447509633738	0.83718699356541	FALSE	"(25,65]"
"726"	1267682	18200	2	74	1.1821912226922	52176	0.348819380558111	0.444440972292796	TRUE	"(65,Inf]"
"681"	203816	0	2	57	0.280976707291553	44819	0	0.424869933631271	TRUE	"(25,65]"
"189"	86786	39600	1	49	-0.143124241132283	56895	0.696018982335882	0.72577813337557	FALSE	"(25,65]"
"172"	892483	100	3	68	0.864115511374327	61154	0.00163521601203519	0.170811977004632	TRUE	"(65,Inf]"
"652"	1140783	39000	2	43	-0.46119995245016	44819	0.870166670385328	0.907239484833553	FALSE	"(25,65]"
"163"	973386	45800	2	58	0.333989325844532	59209	0.773531051022649	0.30942612956278	FALSE	"(25,65]"
"348"	512594	30900	3	36	-0.832288282321016	48451	0.637757734618481	0.986699274508283	FALSE	"(25,65]"
"961"	194740	50000	4	53	0.0689262330796348	53914	0.927402900916274	0.325949528254569	FALSE	"(25,65]"
"753"	1245887	615000	3	44	-0.408187333897181	52176	11.7870285188592	0.601004804717377	FALSE	"(25,65]"
"76"	1391586	22000	4	64	0.652065037162409	39832	0.552319742920265	0.418967089615762	TRUE	"(25,65]"
"715"	108042	6200	1	22	-1.57446494206273	52176	0.118828580190126	0.643103417241946	TRUE	"[0,25]"
"939"	612775	150000	2	34	-0.938313519426975	49172	3.0505165541365	0.487442497629672	FALSE	"(25,65]"
"748"	979475	75000	3	56	0.227964088738573	52176	1.43744250229991	0.833082517841831	FALSE	"(25,65]"
"139"	333982	19200	2	72	1.07616598558625	39832	0.482024502912231	0.530251551419497	TRUE	"(65,Inf]"
"419"	766390	2100	2	86	1.81834264532796	66928	0.0313770021515659	0.768102698493749	TRUE	"(65,Inf]"
"826"	721921	32000	3	39	-0.673250426662078	52758	0.606543083513401	0.719175880309194	FALSE	"(25,65]"
"571"	673010	63000	1	46	-0.302162096791222	68187	0.923929781336618	0.354342837817967	FALSE	"(25,65]"
"425"	987884	21000	2	50	-0.0901116225793037	66928	0.313770021515659	0.807090683141723	TRUE	"(25,65]"
"763"	913398	29000	1	51	-0.0370990040263242	52176	0.555811100889298	0.921585188014433	TRUE	"(25,65]"
"417"	1159904	1e+05	3	39	-0.673250426662078	66928	1.49414295959837	0.307359747122973	FALSE	"(25,65]"
"23"	498048	95000	2	60	0.440014562950491	65720	1.44552647595861	0.7556032971479	FALSE	"(25,65]"
"255"	1324576	30000	1	39	-0.673250426662078	49293	0.608605684377092	0.594203508924693	FALSE	"(25,65]"
"974"	702348	3000	4	20	-1.68049017916869	64095	0.0468055230517201	0.742260459344834	TRUE	"[0,25]"
"642"	1033341	4800	2	34	-0.938313519426975	44819	0.107097436355117	0.667606623843312	TRUE	"(25,65]"
"132"	851013	85200	2	63	0.59905241860943	39832	2.13898373167303	0.355856651207432	FALSE	"(25,65]"
"838"	117900	60000	2	40	-0.620237808109099	52758	1.13726828158763	0.702343994984403	FALSE	"(25,65]"
"287"	1250816	50000	1	28	-1.25638923074485	49293	1.01434280729515	0.822967364219949	FALSE	"(25,65]"
"438"	164576	0	1	28	-1.25638923074485	62634	0	0.714709852356464	TRUE	"(25,65]"
"467"	278995	37000	2	38	-0.726263045215058	62634	0.590733467445796	0.774021001998335	FALSE	"(25,65]"
"754"	1288195	2000	0	28	-1.25638923074485	52176	0.0383318000613309	0.926367370877415	TRUE	"(25,65]"
"389"	332292	61000	3	28	-1.25638923074485	49572	1.23053336560962	0.575031446991488	FALSE	"(25,65]"
"66"	51723	15700	1	78	1.39424169690412	39832	0.394155452902189	0.358784524258226	TRUE	"(65,Inf]"
"3"	16551	7000	2	46	-0.302162096791222	52371	0.133661759370644	0.990683228475973	TRUE	"(25,65]"
"582"	820384	165050	2	43	-0.46119995245016	68187	2.42054937158109	0.298458612989634	FALSE	"(25,65]"
"775"	560007	100030	2	45	-0.355174715344201	48567	2.05962896617044	0.414717753650621	FALSE	"(25,65]"
"395"	973839	45600	3	67	0.811102892821348	49572	0.919874122488502	0.42648397013545	FALSE	"(65,Inf]"
"996"	880240	0	NA	87	1.87135526388094	41073	0	0.555392914218828	TRUE	"(65,Inf]"
"872"	459959	13300	NA	68	0.864115511374327	50977	0.260901975400671	0.639404693851247	TRUE	"(65,Inf]"
"818"	30768	80000	2	50	-0.0901116225793037	52758	1.5163577087835	0.58689493034035	FALSE	"(25,65]"
"426"	878875	40500	2	37	-0.779275663768037	66928	0.605127898637342	0.666215513367206	FALSE	"(25,65]"
"547"	1181596	57000	2	55	0.174951470185594	68187	0.835936468828369	0.370927800657228	FALSE	"(25,65]"
"441"	411385	45000	3	45	-0.355174715344201	62634	0.718459622569212	0.662146661896259	FALSE	"(25,65]"
"698"	166246	19200	1	30	-1.15036399363889	52683	0.364443938272308	0.464160894742236	TRUE	"(25,65]"
"574"	1033571	31900	2	68	0.864115511374327	68187	0.467831111502192	0.286259956890717	FALSE	"(65,Inf]"
"245"	17946	85000	1	51	-0.0370990040263242	61308	1.38644222613688	0.537527662236243	FALSE	"(25,65]"
"18"	940084	53000	2	29	-1.20337661219187	65720	0.806451612903226	0.358310771174729	FALSE	"(25,65]"
"889"	1278230	110000	2	33	-0.991326137979955	41979	2.62035779794659	0.58747756620869	FALSE	"(25,65]"
"324"	723040	120190	2	54	0.121938851632614	55534	2.16425973277632	0.707297548418865	FALSE	"(25,65]"
"384"	909002	0	2	31	-1.09735137508591	49572	0	0.80176650476642	TRUE	"(25,65]"
"47"	1047534	2e+05	4	130.401604710147	4.17218797896715	39832	5.02108857200241	0.700691057834774	FALSE	"(65,Inf]"
"791"	421666	24700	3	54	0.121938851632614	52758	0.468175442586906	0.555816817563027	TRUE	"(25,65]"
"499"	1238436	0	2	25	-1.41542708640379	58094	0	0.540672103874385	TRUE	"[0,25]"
"565"	396256	36400	3	34	-0.938313519426975	68187	0.533826095883379	0.684339278144762	FALSE	"(25,65]"
"390"	1031701	45100	1	44	-0.408187333897181	49572	0.909787783426128	0.100815651239827	FALSE	"(25,65]"
"276"	1283591	65000	2	84	1.712317408222	49293	1.3186456494837	0.711475880350918	FALSE	"(65,Inf]"
"72"	26355	80000	1	36	-0.832288282321016	39832	2.00843542880096	0.249470073962584	FALSE	"(25,65]"
"702"	1405584	4000	2	55	0.174951470185594	52683	0.0759258204733975	0.328567893011495	TRUE	"(25,65]"
"995"	155762	60000	2	49	-0.143124241132283	41073	1.46081367321598	0.090040773851797	FALSE	"(25,65]"
"372"	1379307	0	NA	23	-1.52145232350975	44484	0	0.910847523715347	TRUE	"[0,25]"
"39"	450221	15800	2	64	0.652065037162409	48484	0.325880702912301	0.242316746618599	TRUE	"(25,65]"
"397"	832435	55001	3	48	-0.196136859685263	66928	0.821793569208702	0.11556632630527	FALSE	"(25,65]"
"595"	869997	62000	1	28	-1.25638923074485	44819	1.3833418862536	0.0960258527193218	FALSE	"(25,65]"
"543"	855914	8400	0	31	-1.09735137508591	55559	0.151190626181177	0.469326552702114	TRUE	"(25,65]"
"628"	546208	26000	NA	40	-0.620237808109099	44819	0.580111113590218	0.876088985707611	TRUE	"(25,65]"
"212"	934426	28000	3	62	0.54603980005645	56895	0.492134633974866	0.887903324561194	TRUE	"(25,65]"
"152"	1361709	10800	2	70	0.970140748480286	39832	0.27113878288813	0.241333513753489	TRUE	"(65,Inf]"
"481"	125155	18000	1	55	0.174951470185594	50118	0.359152400335209	0.70442629721947	TRUE	"(25,65]"
"100"	829722	29000	0	78	1.39424169690412	39832	0.728057842940349	0.238271063892171	TRUE	"(65,Inf]"
"452"	150721	402000	2	44	-0.408187333897181	62634	6.41823929495162	0.645078710047528	FALSE	"(25,65]"
"795"	1342272	1200	2	27	-1.30940184929783	52758	0.0227453656317525	0.0328308769967407	TRUE	"(25,65]"
"430"	364991	12000	1	123.061022636481	3.78304450153904	62634	0.191589232685123	0.385359871434048	TRUE	"(65,Inf]"
"717"	520030	49000	1	66	0.758090274268368	52176	0.939129101502607	0.631410542642698	FALSE	"(65,Inf]"
"54"	218283	20000	2	37	-0.779275663768037	39832	0.502108857200241	0.722357812803239	TRUE	"(25,65]"
"871"	606108	66000	1	45	-0.355174715344201	50977	1.29470153206348	0.472369265276939	FALSE	"(25,65]"
"143"	199788	43500	2	37	-0.779275663768037	39832	1.09208676441052	0.636425565928221	FALSE	"(25,65]"
"618"	646061	11500	2	54	0.121938851632614	44819	0.256587607934135	0.0770828712265939	TRUE	"(25,65]"
"396"	440475	35000	2	49	-0.143124241132283	49572	0.706043734366174	0.322526689153165	FALSE	"(25,65]"
"600"	331868	36600	2	85	1.76533002677498	44819	0.816617952207769	0.934491350781173	FALSE	"(65,Inf]"
"598"	382338	21400	1	70	0.970140748480286	44819	0.477476070416564	0.561161563266069	TRUE	"(65,Inf]"
"973"	931352	9600	1	85	1.76533002677498	64095	0.149777673765504	0.360867385286838	TRUE	"(65,Inf]"
"344"	1264817	64000	1	51	-0.0370990040263242	48451	1.32092216878909	0.0978135874029249	FALSE	"(25,65]"
"932"	1359848	13000	4	59	0.387001944397512	41979	0.309678648848234	0.0259768224786967	TRUE	"(25,65]"
"77"	497970	48000	2	30	-1.15036399363889	39832	1.20506125728058	0.522834691219032	FALSE	"(25,65]"
"492"	1402550	2e+05	2	37	-0.779275663768037	58094	3.44269631975763	0.648658799706027	FALSE	"(25,65]"
"865"	334135	2e+05	1	32	-1.04433875653293	54879	3.64438127516901	0.217473747441545	FALSE	"(25,65]"
"593"	1167155	153000	1	32	-1.04433875653293	44819	3.41373078381936	0.472722274949774	FALSE	"(25,65]"
"128"	1239370	45000	2	50	-0.0901116225793037	39832	1.12974492870054	0.520918625639752	FALSE	"(25,65]"
"168"	1139422	9600	1	85	1.76533002677498	61154	0.156980737155378	0.919663007138297	TRUE	"(65,Inf]"
"124"	38827	9700	2	72	1.07616598558625	39832	0.243522795742117	0.311487071448937	TRUE	"(65,Inf]"
"683"	126507	112000	4	51	-0.0370990040263242	44819	2.4989401816194	0.0670875364448875	FALSE	"(25,65]"
"526"	1040818	285500	3	46	-0.302162096791222	37427	7.62818286263927	0.366698038065806	FALSE	"(25,65]"
"524"	551584	20000	1	40	-0.620237808109099	37427	0.534373580570177	0.470826624426991	TRUE	"(25,65]"
"546"	1086785	11600	2	84	1.712317408222	55559	0.208787055202577	0.428134526591748	TRUE	"(65,Inf]"
"767"	1197386	25000	2	55	0.174951470185594	52176	0.479147500766636	0.15827582590282	TRUE	"(25,65]"
"704"	6369	12000	1	31	-1.09735137508591	52683	0.227777461420192	0.0660655305255204	TRUE	"(25,65]"
"805"	991697	11000	2	40	-0.620237808109099	52758	0.208499184957732	0.831394226057455	TRUE	"(25,65]"
"521"	499492	15400	1	54	0.121938851632614	37427	0.411467657039036	0.57128981128335	TRUE	"(25,65]"
"385"	1364927	160000	2	59	0.387001944397512	49572	3.22762849995965	0.622060225112364	FALSE	"(25,65]"
"460"	1084583	12000	2	41	-0.567225189556119	62634	0.191589232685123	0.871542788110673	TRUE	"(25,65]"
"146"	1393715	25500	1	48	-0.196136859685263	39832	0.640188792930307	0.819398186402395	TRUE	"(25,65]"
"4"	1079878	37200	1	62	0.54603980005645	52371	0.710316778369708	0.187355963746086	FALSE	"(25,65]"
"408"	773582	27200	2	74	1.1821912226922	66928	0.406406885010758	0.299505871254951	TRUE	"(65,Inf]"
"96"	575660	28000	1	24	-1.46843970495677	39832	0.702952400080337	0.586089631542563	TRUE	"[0,25]"
"278"	847699	26300	4	26	-1.36241446785081	49293	0.533544316637251	0.157640251796693	TRUE	"(25,65]"
"138"	348319	0	3	26	-1.36241446785081	39832	0	0.0188914467580616	TRUE	"(25,65]"
"898"	110699	60000	1	53	0.0689262330796348	41979	1.42928607160723	0.284656696487218	FALSE	"(25,65]"
"764"	25863	41000	1	70	0.970140748480286	52176	0.785801901257283	0.463810952147469	FALSE	"(65,Inf]"
"239"	592496	10700	1	60	0.440014562950491	47353	0.225962452220556	0.553131454624236	TRUE	"(25,65]"
"420"	1408913	1000	0	60	0.440014562950491	66928	0.0149414295959837	0.211441009072587	TRUE	"(25,65]"
"214"	111870	26000	1	54	0.121938851632614	56895	0.456982160119518	0.71619713655673	TRUE	"(25,65]"
"371"	151678	0	NA	34	-0.938313519426975	43860	0	0.210170685779303	TRUE	"(25,65]"
"329"	1000510	90000	3	41	-0.567225189556119	47526	1.89370029036738	0.120827531907707	FALSE	"(25,65]"
"325"	1110962	3400	0	58	0.333989325844532	55534	0.0612237548168689	0.751321407733485	TRUE	"(25,65]"
"897"	756099	70504	1	62	0.54603980005645	41979	1.6795064198766	0.235056796111166	FALSE	"(25,65]"
"217"	1145290	450	1	33	-0.991326137979955	47353	0.00950309378497666	0.544501702301204	TRUE	"(25,65]"
"418"	1278909	26910	5	70	0.970140748480286	66928	0.402073870427923	0.673080282751471	TRUE	"(65,Inf]"
"246"	427589	40000	1	54	0.121938851632614	61308	0.652443400535004	0.0833532642573118	FALSE	"(25,65]"
"799"	96964	266200	2	69	0.917128129927307	52758	5.0456802759771	0.480390631826594	FALSE	"(65,Inf]"
"636"	829195	3030	1	55	0.174951470185594	44819	0.0676052566991678	0.601193632697687	TRUE	"(25,65]"
"537"	1403515	382500	3	66	0.758090274268368	52498	7.28599184730847	0.137363167945296	FALSE	"(65,Inf]"
"635"	5641	20000	0	22	-1.57446494206273	44819	0.446239318146322	0.494712581858039	TRUE	"[0,25]"
"682"	1361012	255000	1	113.337207373232	3.26755959210879	44819	5.6895513063656	0.261740887537599	FALSE	"(65,Inf]"
"564"	461429	12400	2	81	1.55327955256306	68187	0.181852845850382	0.347266626544297	TRUE	"(65,Inf]"
"90"	1231777	91010	1	52	0.0159136145266553	39832	2.2848463546897	0.401789418887347	FALSE	"(25,65]"
"225"	679364	22800	2	55	0.174951470185594	47353	0.481490085105484	0.315101642627269	TRUE	"(25,65]"
"80"	354269	22000	1	29	-1.20337661219187	39832	0.552319742920265	0.718142411205918	TRUE	"(25,65]"
"879"	363008	5400	1	84	1.712317408222	50977	0.105930125350648	0.817505396669731	TRUE	"(65,Inf]"
"312"	980412	28800	2	62	0.54603980005645	55534	0.518601217272302	0.659534960286692	TRUE	"(25,65]"
"545"	868481	30000	3	36	-0.832288282321016	55559	0.539966522075631	0.741116313962266	FALSE	"(25,65]"
"801"	1241975	35400	2	51	-0.0370990040263242	52758	0.6709882861367	0.0725317536853254	FALSE	"(25,65]"
"686"	465818	0	3	33	-0.991326137979955	52683	0	0.86840802221559	TRUE	"(25,65]"
"117"	1042303	71300	2	28	-1.25638923074485	39832	1.79001807591886	0.358112100511789	FALSE	"(25,65]"
"192"	634710	5000	2	54	0.121938851632614	56895	0.0878811846383689	0.560807537520304	TRUE	"(25,65]"
"479"	833321	30900	2	51	-0.0370990040263242	50118	0.616544953908775	0.108843939844519	FALSE	"(25,65]"
"527"	699499	65000	2	29	-1.20337661219187	49615	1.31008767509826	0.0760278990492225	FALSE	"(25,65]"
"508"	1037495	22800	1	30	-1.15036399363889	37427	0.609185881850001	0.351980248466134	TRUE	"(25,65]"
"226"	1185382	7200	NA	26	-1.36241446785081	47353	0.152049500559627	0.123204096918926	TRUE	"(25,65]"
