"ID_pelanggan"	"personal_loan"
"76"	253015	11922.8280986998
"77"	52436	12202.6786581782
"78"	382338	10957.3830852834
"79"	1366883	10401.5059151975
"80"	776471	11136.1868765706
"81"	562962	9965.28845209046
"82"	383455	13081.1496260392
"83"	103389	12195.518796604
"84"	583093	11556.8461221559
"85"	1409249	12350.2461531597
"86"	596523	11459.7240429689
"87"	735845	11631.359006357
"88"	342460	12743.1729880731
"89"	665669	13698.8105748329
"90"	580304	12498.9791030443
"91"	606307	12086.7954413505
"92"	153419	11759.4091997103
"93"	1322627	11528.6257614239
"94"	337683	11475.7719077172
"95"	1063014	10908.8979759529
"96"	179481	11443.2666641067
"97"	53214	11273.4062649442
"98"	1237055	11069.815726474
"99"	739344	10254.8680519768
"100"	723040	11190.9983186107
"101"	107458	11829.3353826318
"102"	816773	12816.4256280209
"103"	517696	12019.262365585
"104"	17946	12270.738133328
"105"	1390506	12946.3884481967
"106"	1115937	11669.8274656658
"107"	1264848	11860.2334022827
"108"	896869	11652.7914919992
"109"	667156	10842.7451465164
"110"	1238436	10099.0080669118
"111"	6369	11836.2261480738
"112"	646808	12535.1890897591
"113"	1217985	12560.7214297585
"114"	934426	11819.8721773368
"115"	1083939	10922.1682012774
"116"	86711	11013.0103315135
"117"	685994	12564.7699639808
"118"	254969	11105.4626466886
"119"	595944	11717.7134102247
"120"	1076007	11167.9880420123
"121"	1263543	10800.0394065342
"122"	146457	11628.5312811176
"123"	559955	12934.1130823041
"124"	828208	10068.6659343682
"125"	994628	12342.7622974503
"126"	1165177	12765.5145539394
"127"	1236386	10795.6430304188
"128"	1353087	12388.9060199406
"129"	1412161	9259.52451841818
"130"	968478	12958.9750451258
"131"	635515	11738.3168242559
"132"	1307013	11003.6484442091
"133"	53186	12015.7283316671
"134"	860763	12733.4630206733
"135"	668199	11124.6895977559
"136"	786358	12472.3968871401
"137"	620116	9595.99377217767
"138"	80549	11733.5947313755
"139"	90863	12690.1603638618
"140"	38827	10876.0600375347
"141"	571834	11622.1214848193
"142"	928569	11290.292166398
"143"	68221	12305.6069187387
"144"	26057	10606.7542332797
"145"	912196	11343.7290765707
"146"	26355	11340.1165592602
"147"	1354211	10598.3993863765
"148"	1317659	9441.76171275534
"149"	1375846	12780.4422301557
"150"	898396	11817.7262927402
"151"	183889	10988.7052667103
"152"	158530	12610.9072131782
"153"	1079462	12457.952046447
"154"	459959	12951.6262712999
"155"	403690	11593.6937478138
"156"	650961	11881.1004489735
"157"	276306	10787.900359251
"158"	1131990	10818.9282319913
"159"	1407895	13411.7560991464
"160"	848521	11584.2699817594
"161"	878578	11198.0628916947
"162"	536463	11672.6147939549
"163"	1152584	12561.2451735161
"164"	904144	12096.0842897577
"165"	1100932	13168.4399435844
"166"	816872	13147.1914186108
"167"	726057	13768.2317289681
"168"	991794	13945.0396101335
"169"	335080	11234.4044595361
"170"	419951	11704.3667450544
"171"	421248	10993.9864101199
"172"	1079878	9811.03677173394
"173"	1285807	11619.2827131762
"174"	460925	12551.9191886515
"175"	445622	11852.7188717523
"176"	427431	11386.6167580171
"177"	487124	11202.1139792009
"178"	167498	10550.5739710808
"179"	820384	12175.6091672006
"180"	823146	12485.4473676221
"181"	645268	10698.3813582836
"182"	175572	10124.1581893059
"183"	1411860	10660.8258612107
"184"	649827	11233.7857658446
"185"	445985	11183.8546430442
"186"	926808	12252.1293744249
"187"	166246	11978.9880752245
"188"	957083	10550.3937280899
"189"	22295	13274.771822114
"190"	1110560	10523.4174367904
"191"	1127889	10977.486145223
"192"	845421	10707.4423938397
"193"	841342	9652.4238166368
"194"	40132	11835.1692412171
"195"	589826	11121.6028313896
"196"	999444	10582.3627444012
"197"	416624	13496.4965762529
"198"	728498	12788.8172710505
"199"	37224	11253.6362534293
"200"	283521	10699.5882717519
"201"	361561	10922.6397551201
"202"	592496	12981.4956077895
"203"	1213106	12266.5329149874
"204"	458094	13207.9197880249
"205"	361946	11832.5373102662
"206"	388567	11288.290523538
"207"	1117486	13447.5688275835
"208"	556935	12193.3631202553
"209"	85398	11711.2039936668
"210"	932143	10419.4036963211
"211"	685624	11277.196335642
"212"	1274592	11966.4655493846
"213"	1284555	10942.9458529769
"214"	546208	10741.0680416226
"215"	1267400	11341.0319240624
"216"	1160167	11602.6857367193
"217"	184686	12599.6703875395
"218"	36825	13462.2449416406
"219"	1031473	11456.9522276337
"220"	1150024	12295.3534951442
"221"	1269661	11576.5749318279
"222"	1267682	11929.998408469
"223"	1121810	12337.6429014463
"224"	830758	12037.1016256625
"225"	406984	11788.5375187864
"226"	314099	10867.4649260763
"227"	1386114	12818.1512920463
"228"	33651	11375.0790496501
"229"	520390	10331.8952343722
"230"	1096606	10044.7924584357
"231"	1267710	12853.1761727694
"232"	1143785	10946.9318589065
"233"	763255	11004.669033691
"234"	993668	12284.6569745373
"235"	510555	11446.1954284783
"236"	613391	10635.8947788583
"237"	545826	10509.2886004927
"238"	825790	13550.7540391014
"239"	50220	10306.8250636448
"240"	1199409	11428.5167792177
"241"	551584	10620.1214573308
"242"	1405584	10454.3201359699
"243"	560783	12440.2237479552
"244"	489718	11435.9122399334
"245"	1361709	10736.4992144051
"246"	499807	12818.2962689645
"247"	837381	12565.1326963239
"248"	988264	11014.5104805246
"249"	925421	10108.2422344915
"250"	818228	10074.717847594
"251"	1335632	11536.7867996532
"252"	1086785	11452.6689195933
"253"	1342272	12418.9375201179
"254"	415060	12130.2780140274
"255"	1086100	10612.1661200463
"256"	955457	11798.3675701142
"257"	250108	11760.7987028529
"258"	354269	10986.0856249235
"259"	97247	10554.6908651289
"260"	606108	12707.8289101805
"261"	520030	11638.5496903369
"262"	799074	11680.9382869286
"263"	648220	10568.1396247302
"264"	416144	11613.9126586779
"265"	8322	11713.4437717503
"266"	1288195	14027.6727494847
"267"	795198	10666.4856817908
"268"	151678	11797.0998403272
"269"	374461	10275.5106960206
"270"	607766	12229.3660205778
"271"	310588	11457.9600570699
"272"	1264817	11247.6292272421
"273"	1327830	11486.2114529488
"274"	1213329	9788.7382447501
"275"	733279	11688.2828169907
"276"	133268	11886.3262720654
"277"	868481	10766.8642388663
"278"	1241524	10225.3479624034
"279"	1117622	14392.6145961782
"280"	504889	10345.7289546026
"281"	396116	11724.4601429172
"282"	18487	10770.025006195
"283"	968830	10544.2548751136
"284"	316280	10904.025703515
"285"	1194722	10654.3063716891
"286"	612779	10328.3710143503
"287"	979736	12279.3428406394
"288"	511732	13189.0381177151
"289"	679364	12167.7931953028
"290"	491280	11261.0010415667
"291"	523769	11971.9203121463
"292"	829195	12719.2118478919
"293"	181754	11415.3497387518
"294"	568892	9784.4817780338
"295"	756667	10348.8679192388
"296"	218283	11234.6804823515
"297"	873626	10888.7016982937
"298"	1258309	10924.1244844775
"299"	779164	11123.3848558283
"300"	693235	11441.1282035133
"301"	368645	12394.8933887513
"302"	462569	11276.5290450163
"303"	712409	10747.079580682
"304"	1218268	13358.7903757708
"305"	998185	12113.3777390616
"306"	846713	12053.1411594854
"307"	1065059	11447.9006781063
"308"	113390	10155.5673756744
"309"	867842	12876.172435777
"310"	597817	13490.6354685208
"311"	1391586	12017.7458474008
"312"	953043	11101.4067675494
"313"	506042	11539.1780958708
"314"	1281448	13896.0636481647
"315"	831497	10346.2059495047
"316"	69062	12598.9237486644
"317"	76182	10592.3189405869
"318"	409728	12176.9562525356
"319"	283607	11961.2139099668
"320"	756892	12310.2910241119
"321"	1388751	12656.0633356651
"322"	2848	11512.3305382213
"323"	68013	12427.5057634772
"324"	1042791	13526.0882902766
"325"	863276	10886.6728581056
"326"	684640	11949.586222117
"327"	394696	12292.3926057709
"328"	281529	9327.97137739379
"329"	435651	11543.0388566676
"330"	1072259	9655.09176417409
"331"	688736	11458.4620905238
"332"	184170	12035.5378160859
"333"	138865	11876.4269253311
"334"	878882	10680.5659267262
"335"	635574	10827.8043632733
"336"	27214	12615.9336039297
"337"	1393413	11400.6708210517
"338"	127965	11351.8118500894
"339"	1412971	10790.5914948722
"340"	2068	11428.2464851418
"341"	960591	11311.5929572719
"342"	1273216	13299.4017360456
"343"	311095	11195.8891569181
"344"	761380	10589.2625110727
"345"	115100	11038.1542372057
"346"	789913	10501.4961318738
"347"	668750	12445.0984567296
"348"	1216094	11579.1469252299
"349"	913398	13270.9092670625
"350"	584570	11059.2939075052
"351"	886647	12228.6831018859
"352"	1253904	10115.6274364168
"353"	268667	13505.9669698339
"354"	124968	9913.2312252407
"355"	519446	11364.8555804918
"356"	1392011	11464.4174293651
"357"	1029778	12296.425342692
"358"	287882	9804.40493703861
"359"	863424	12579.5059703473
"360"	1090019	9714.56690191604
"361"	1053513	11857.8408232555
"362"	196613	11776.2577002265
"363"	542384	12201.1094254338
"364"	104506	12074.9590333334
"365"	832866	10949.0100950646
"366"	638760	10590.1063203043
"367"	1003135	12899.2472988777
"368"	40449	11876.1478543988
"369"	217315	12113.6441712795
"370"	809267	12310.5977997434
"371"	1392648	11751.4629829449
"372"	159573	11102.1013050218
"373"	264292	13592.0618956682
"374"	66778	12238.5905053136
"375"	492072	10817.7532624429
"376"	1216615	11870.0419319655
"377"	84879	12456.6733272069
"378"	373976	11845.6048140019
"379"	1400440	11771.9313841553
"380"	1108038	13285.5750907108
"381"	575660	10409.6381852153
"382"	331868	12428.5920204127
"383"	907824	10885.5794372007
"384"	965689	13241.7214943887
"385"	1328084	12390.0079768514
"386"	450776	10575.8166780943
"387"	931352	13245.7350956953
"388"	1175925	12020.3860714449
"389"	178887	9235.95114210818
"390"	456859	13140.6241722335
"391"	871562	14262.49438428
"392"	1172770	11569.2360883387
"393"	169519	10377.1473843589
"394"	583934	12582.8513247729
"395"	1303929	11579.9166681071
"396"	1064979	11391.9412910383
"397"	832435	10115.9667832569
"398"	1278909	12421.3055915447
"399"	1299959	12351.7514406843
"400"	1024624	9899.24952719522
"401"	1269422	10756.158253772
"402"	693571	9985.88273775806
"403"	1245887	11661.337071043
"404"	1159665	13374.9193179029
"405"	79069	10271.3109956739
"406"	612775	11659.3543711976
"407"	1171408	11697.9158466999
"408"	875771	11494.9848457686
"409"	196828	11111.4951558962
"410"	988580	12100.5116600782
"411"	1238518	10650.1703098682
"412"	149480	11081.0711088531
"413"	638458	11688.5284355118
"414"	100475	12799.5434717774
"415"	805571	12197.3674075139
"416"	14989	9709.39989104608
"417"	869997	11853.7244675965
"418"	928004	11559.4162454804
"419"	661353	13338.8197611698
"420"	348319	11111.8550377153
"421"	1200487	9930.29309269314
"422"	814627	11157.7774106169
"423"	973386	11784.0984634162
"424"	177145	11487.1528123969
"425"	716518	12733.4339613888
"426"	702348	11751.0375290242
"427"	642727	10810.8008239334
"428"	364328	11442.7413212544
"429"	1212823	12129.4119651172
"430"	1401938	10710.9168498531
"431"	419751	11939.677750681
"432"	647206	11538.0295402003
"433"	971768	11555.9585390966
"434"	1297652	9895.96897597531
"435"	209604	12363.8058047023
"436"	618059	10420.6890600853
"437"	1034994	12627.9455920324
"438"	499492	11419.5558042082
"439"	628305	13346.9207734918
"440"	460642	11075.7219458067
"441"	604839	12150.421227447
"442"	692445	13374.2103055384
"443"	1356541	12458.745445998
"444"	1052064	12223.5790662957
"445"	332292	10271.9473640465
"446"	178178	10552.5146044725
"447"	1245912	12304.0307787789
"448"	931141	11736.5360477583
"449"	265299	12594.2601914777
"450"	1046696	12367.8163213278
"451"	1159904	12181.0688333676
"452"	822729	12471.642773113
"453"	980947	13346.8621711244
"454"	532940	11230.6336292929
"455"	980375	13241.0153280409
"456"	449907	11519.9180113215
"457"	1369231	12618.9753644976
"458"	1259310	11408.2109757754
"459"	805224	10406.6552583203
"460"	397230	12037.3685137873
"461"	1386080	12866.5562991972
"462"	1044036	11856.4400269318
"463"	908176	9538.60757825618
"464"	72741	14216.8180961331
"465"	106726	12106.8641604006
"466"	318348	9360.92805173278
"467"	792130	11048.6779478791
"468"	1408280	10880.7808790569
"469"	258948	10554.4147489014
"470"	1364327	10843.3006153854
"471"	1095968	13325.8051503595
"472"	167154	10793.9332538396
"473"	1111699	11475.485911218
"474"	1283783	12044.4764640124
"475"	298205	11105.8828451147
"476"	52382	10814.0768929777
"477"	1046317	11098.2625946986
"478"	54177	12600.540305501
"479"	1036358	11226.114285025
"480"	223773	10278.1110395741
"481"	598008	10242.7833255309
"482"	467335	8863.50348220996
"483"	601247	12101.9144728018
"484"	62999	11981.168952847
"485"	761350	12909.6178846807
"486"	382614	11045.2458537493
"487"	847699	11411.3626993988
"488"	356688	11514.8349374607
"489"	150055	12739.4142304832
"490"	569414	10061.5920804682
"491"	1303744	11934.1281911017
"492"	117911	11719.4487381139
"493"	77312	11798.3894527578
"494"	892483	11131.5893066377
"495"	164576	11744.8353588238
"496"	605624	11484.5552027695
"497"	479327	11092.6753602957
"498"	1057778	11843.0116630021
"499"	214083	12637.3321567191
"500"	991888	11506.0947846946
