"","state.of.res","ID Customer","sex","Working","marital.stat","ins.health","Home Status","recent.move"
"973","Washington",931352,"F",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"383","Maryland",254969,"F",TRUE,"Divorced/Separated",FALSE,"Rented",FALSE
"531","Nebraska",545826,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"94","California",994628,"F",NA,"Married",FALSE,"Rented",FALSE
"230","Georgia",80549,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"462","Michigan",79069,"M",TRUE,"Married",FALSE,"Rented",TRUE
"672","New York",1115937,"F",NA,"Never Married",TRUE,"Rented",FALSE
"4","Alabama",1079878,"F",NA,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"83","California",223773,"F",NA,"Widowed",TRUE,"Rented",TRUE
"483","Minnesota",875771,"M",FALSE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"318","Indiana",1283783,"F",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"952","Virginia",1264160,"F",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"233","Georgia",908176,"F",NA,"Widowed",TRUE,"Rented",FALSE
"787","Pennsylvania",281529,"F",NA,"Divorced/Separated",FALSE,"Homeowner free and clear",FALSE
"763","Ohio",913398,"M",FALSE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"718","Ohio",1299959,"M",TRUE,"Married",TRUE,"Rented",FALSE
"142","California",535114,"F",NA,"Married",FALSE,"Homeowner with mortgage/loan",TRUE
"987","Wisconsin",409728,"M",TRUE,"Never Married",FALSE,"Homeowner with mortgage/loan",FALSE
"393","Maryland",67776,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"347","Kentucky",136206,"F",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"556","New Jersey",536463,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"650","New York",1259310,"M",TRUE,"Never Married",FALSE,"Rented",TRUE
"915","Texas",1297652,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"291","Illinois",597817,"F",NA,"Widowed",TRUE,"Rented",FALSE
"430","Michigan",364991,"F",NA,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"28","Arkansas",1269051,"F",NA,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE
"906","Texas",324029,"F",TRUE,"Married",TRUE,"Rented",FALSE
"170","Connecticut",150055,"F",TRUE,"Married",TRUE,"Rented",FALSE
"658","New York",1303744,"M",TRUE,"Divorced/Separated",TRUE,"Rented",TRUE
"413","Massachusetts",1295682,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"522","Missouri",1408280,"F",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"409","Massachusetts",578596,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"340","Kansas",1364327,"M",TRUE,"Married",TRUE,"Rented",FALSE
"520","Missouri",177145,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"427","Michigan",456859,"M",TRUE,"Never Married",TRUE,NA,NA
"591","New York",605624,"F",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"959","Virginia",449907,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"993","Wisconsin",373976,"F",TRUE,"Divorced/Separated",TRUE,"Rented",TRUE
"847","Pennsylvania",374461,"M",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"697","North Carolina",965689,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"754","Ohio",1288195,"M",TRUE,"Never Married",TRUE,"Rented",FALSE
"690","North Carolina",568892,"F",NA,"Widowed",TRUE,"Rented",FALSE
"185","Delaware",1317659,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"99","California",53186,"F",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"440","Michigan",661353,"F",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"474","Minnesota",1095968,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"34","Arkansas",356688,"F",TRUE,"Never Married",FALSE,"Rented",FALSE
"821","Pennsylvania",180009,"M",FALSE,"Divorced/Separated",TRUE,"Rented",TRUE
"323","Indiana",668199,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"203","Florida",980375,"F",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"229","Georgia",1216615,"F",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"13","Alaska",415575,"M",NA,"Never Married",TRUE,NA,NA
"382","Maryland",86711,"M",NA,"Never Married",TRUE,"Homeowner free and clear",FALSE
"288","Illinois",196828,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"209","Florida",195539,"M",NA,"Married",TRUE,"Rented",FALSE
"477","Minnesota",1171408,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"405","Massachusetts",1386114,"M",TRUE,"Married",TRUE,"Rented",FALSE
"202","Florida",571834,"F",FALSE,"Never Married",TRUE,"Rented",FALSE
"613","New York",510349,"F",NA,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"235","Georgia",1065669,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"612","New York",1121810,"F",NA,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE
"575","New Jersey",606307,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"998","Wyoming",1216094,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"812","Pennsylvania",635515,"F",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"124","California",38827,"F",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"330","Iowa",519446,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"133","California",816773,"M",TRUE,"Married",TRUE,"Rented",TRUE
"985","Wisconsin",264292,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"406","Massachusetts",1029778,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"342","Kentucky",1239496,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"314","Indiana",1065059,"F",FALSE,"Never Married",FALSE,"Rented",FALSE
"422","Massachusetts",1369231,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"745","Ohio",1086100,"F",FALSE,"Never Married",FALSE,"Rented",FALSE
"93","California",878882,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"595","New York",869997,"M",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"535","Nebraska",287882,"M",TRUE,"Married",TRUE,"Rented",TRUE
"703","North Carolina",1111699,"M",TRUE,"Never Married",TRUE,"Rented",FALSE
"16","Arizona",692445,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"861","South Carolina",342460,"M",TRUE,"Married",TRUE,"Rented",FALSE
"806","Pennsylvania",368645,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"8","Alabama",467335,"M",TRUE,"Never Married",FALSE,"Rented",FALSE
"458","Michigan",649827,"F",NA,"Married",TRUE,NA,NA
"507","Missouri",77312,"M",TRUE,"Married",FALSE,"Homeowner free and clear",FALSE
"741","Ohio",308107,"F",TRUE,"Never Married",FALSE,"Rented",FALSE
"300","Indiana",427431,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"158","Colorado",1165177,"M",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"285","Illinois",396116,"F",NA,"Married",TRUE,"Rented",FALSE
"674","New York",1400440,"M",NA,"Married",TRUE,NA,NA
"845","Pennsylvania",991888,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"201","Florida",761424,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"917","Texas",62999,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"668","New York",618059,"F",NA,"Widowed",TRUE,"Occupied with no rent",FALSE
"234","Georgia",1042791,"M",FALSE,"Married",TRUE,"Rented",TRUE
"624","New York",957083,"M",NA,"Divorced/Separated",TRUE,"Rented",TRUE
"155","Colorado",540956,"F",TRUE,"Never Married",FALSE,"Rented",FALSE
"851","Rhode Island",1218268,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"698","North Carolina",166246,"F",TRUE,"Never Married",TRUE,"Rented",FALSE
"306","Indiana",693235,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"771","Ohio",1152584,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"858","South Carolina",1171358,"F",TRUE,"Never Married",TRUE,"Rented",TRUE
"747","Ohio",262234,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"939","Utah",612775,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"237","Georgia",638760,"M",FALSE,"Married",FALSE,"Homeowner free and clear",FALSE
"626","New York",562962,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"97","California",1412971,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"777","Oklahoma",991794,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"74","California",90863,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"471","Minnesota",276306,"M",FALSE,"Married",TRUE,"Rented",FALSE
"265","Illinois",178178,"F",TRUE,"Never Married",TRUE,"Rented",FALSE
"896","Texas",595944,"F",TRUE,"Never Married",TRUE,"Homeowner free and clear",FALSE
"465","Michigan",117911,"M",TRUE,"Widowed",TRUE,"Rented",FALSE
"245","Idaho",17946,"F",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"30","Arkansas",1200487,"M",NA,"Never Married",FALSE,NA,NA
"824","Pennsylvania",1237055,"M",TRUE,"Married",TRUE,"Rented",FALSE
"530","Nebraska",54177,"M",FALSE,"Married",TRUE,"Homeowner free and clear",FALSE
"964","Washington",1117622,"F",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",TRUE
"164","Connecticut",76182,"F",TRUE,"Divorced/Separated",FALSE,"Homeowner with mortgage/loan",FALSE
"925","Texas",688736,"F",NA,"Married",TRUE,"Rented",FALSE
"827","Pennsylvania",127965,"M",TRUE,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE
"744","Ohio",138865,"M",TRUE,"Divorced/Separated",FALSE,"Rented",FALSE
"493","Mississippi",668750,"F",NA,"Never Married",FALSE,NA,NA
"371","Louisiana",151678,"M",NA,"Never Married",FALSE,NA,NA
"680","New York",1253904,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"78","California",1392648,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"685","North Carolina",556935,"F",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"538","Nevada",181754,"M",TRUE,"Married",TRUE,"Rented",FALSE
"179","Connecticut",776471,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"499","Mississippi",1238436,"F",NA,"Married",FALSE,"Rented",FALSE
"271","Illinois",283607,"M",TRUE,"Married",TRUE,"Rented",TRUE
"345","Kentucky",900377,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"316","Indiana",583093,"M",TRUE,"Never Married",TRUE,"Rented",FALSE
"673","New York",814627,"M",TRUE,"Never Married",TRUE,"Rented",FALSE
"518","Missouri",532940,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"129","California",1371785,"F",TRUE,"Divorced/Separated",FALSE,"Homeowner with mortgage/loan",FALSE
"582","New Jersey",820384,"M",TRUE,"Married",TRUE,"Rented",FALSE
"992","Wisconsin",100475,"F",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"962","Virginia",214083,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"256","Illinois",863424,"F",TRUE,"Never Married",TRUE,"Rented",FALSE
"331","Iowa",979736,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"91","California",988580,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"443","Michigan",2848,"M",TRUE,"Never Married",FALSE,"Rented",TRUE
"704","North Carolina",6369,"F",TRUE,"Never Married",TRUE,"Rented",TRUE
"817","Pennsylvania",831497,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"669","New York",832866,"M",NA,"Divorced/Separated",FALSE,"Homeowner with mortgage/loan",FALSE
"484","Minnesota",938913,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"174","Connecticut",227318,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"894","Texas",1053513,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"49","California",1353087,"M",NA,"Never Married",FALSE,NA,NA
"608","New York",113390,"M",TRUE,"Never Married",FALSE,"Rented",FALSE
"872","Tennessee",459959,"F",NA,"Widowed",TRUE,NA,NA
"109","California",52382,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"374","Maine",1150024,"M",TRUE,"Married",TRUE,"Rented",FALSE
"566","New Jersey",601247,"M",NA,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"804","Pennsylvania",107458,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",TRUE
"272","Illinois",1064979,"F",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"464","Michigan",591244,"M",NA,"Never Married",TRUE,"Homeowner free and clear",FALSE
"954","Virginia",149429,"M",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"172","Connecticut",892483,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"637","New York",435651,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"823","Pennsylvania",1386080,"F",NA,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE
"296","Illinois",406984,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"377","Maine",580304,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"196","Florida",419951,"F",TRUE,"Never Married",TRUE,"Rented",FALSE
"789","Pennsylvania",520390,"F",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"143","California",199788,"M",FALSE,"Never Married",FALSE,"Homeowner free and clear",TRUE
"607","New York",1267400,"M",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"877","Tennessee",716518,"M",TRUE,"Married",FALSE,"Homeowner with mortgage/loan",FALSE
"944","Virginia",53214,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"926","Texas",1034994,"F",NA,"Widowed",TRUE,"Occupied with no rent",FALSE
"540","New Hampshire",809267,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"84","California",517696,"F",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"770","Ohio",445985,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"559","New Jersey",421248,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"983","Wisconsin",928004,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"147","California",265299,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"397","Massachusetts",832435,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"702","North Carolina",1405584,"F",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"14","Alaska",416144,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"870","Tennessee",828208,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"434","Michigan",685994,"F",TRUE,"Married",FALSE,"Homeowner free and clear",FALSE
"795","Pennsylvania",1342272,"F",FALSE,"Married",FALSE,"Rented",FALSE
"77","California",497970,"F",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"402","Massachusetts",40132,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"327","Iowa",69062,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"487","Minnesota",1108038,"F",TRUE,"Married",TRUE,"Rented",TRUE
"662","New York",860763,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"269","Illinois",805571,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"598","New York",382338,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"225","Georgia",679364,"F",FALSE,"Married",TRUE,"Homeowner free and clear",FALSE
"793","Pennsylvania",14989,"M",NA,"Married",TRUE,"Rented",FALSE
"80","California",354269,"M",NA,"Never Married",FALSE,"Rented",TRUE
"378","Maine",1213106,"M",TRUE,"Married",TRUE,"Homeowner free and clear",TRUE
"692","North Carolina",337683,"F",TRUE,"Widowed",TRUE,"Rented",FALSE
"848","Pennsylvania",1354211,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"742","Ohio",886647,"F",TRUE,"Never Married",FALSE,"Rented",FALSE
"492","Mississippi",1402550,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",TRUE
"798","Pennsylvania",645268,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"85","California",8322,"F",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"684","New York",430516,"F",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"822","Pennsylvania",761380,"M",TRUE,"Married",TRUE,"Rented",TRUE
"137","California",460642,"F",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"438","Michigan",164576,"F",NA,"Never Married",FALSE,"Rented",FALSE
"275","Illinois",316280,"M",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"810","Pennsylvania",1401938,"F",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"167","Connecticut",948494,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"250","Illinois",1024624,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE
"976","West Virginia",848521,"M",TRUE,"Married",FALSE,"Rented",FALSE
"829","Pennsylvania",311095,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"373","Maine",799074,"F",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"309","Indiana",926808,"M",TRUE,"Married",FALSE,"Rented",FALSE
"726","Ohio",1267682,"F",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"611","New York",115100,"M",NA,"Never Married",FALSE,NA,NA
"166","Connecticut",837381,"M",TRUE,"Never Married",TRUE,NA,NA
"488","Mississippi",897580,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"502","Mississippi",823146,"F",NA,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE
"317","Indiana",1044036,"F",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"310","Indiana",318348,"F",TRUE,"Divorced/Separated",FALSE,"Homeowner with mortgage/loan",FALSE
"765","Ohio",1356541,"F",NA,"Never Married",TRUE,"Rented",TRUE
"219","Georgia",479327,"F",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"871","Tennessee",606108,"F",TRUE,"Never Married",TRUE,"Rented",TRUE
"869","Tennessee",1072259,"M",NA,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"857","South Carolina",647206,"M",TRUE,"Married",FALSE,"Homeowner with mortgage/loan",FALSE
"933","Texas",395888,"M",TRUE,"Married",FALSE,"Rented",FALSE
"743","Ohio",1031473,"M",TRUE,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE
"562","New Jersey",106726,"M",TRUE,"Married",TRUE,"Rented",FALSE
"366","Louisiana",712409,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"69","California",27214,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"929","Texas",1100932,"F",FALSE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"840","Pennsylvania",1194722,"F",FALSE,"Never Married",FALSE,"Rented",FALSE
"911","Texas",335080,"M",TRUE,"Married",TRUE,"Rented",TRUE
"837","Pennsylvania",805224,"F",TRUE,"Never Married",TRUE,"Rented",TRUE
"9","Alabama",462569,"M",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"523","Missouri",584570,"M",TRUE,"Married",TRUE,"Rented",FALSE
"699","North Carolina",1263543,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"666","New York",998185,"F",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"592","New York",26057,"M",TRUE,"Married",TRUE,NA,NA
"800","Pennsylvania",1322627,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"282","Illinois",968830,"M",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"801","Pennsylvania",1241975,"M",TRUE,"Married",FALSE,"Homeowner with mortgage/loan",FALSE
"79","California",510555,"M",TRUE,"Divorced/Separated",FALSE,"Rented",FALSE
"711","North Dakota",1052064,"M",TRUE,"Never Married",TRUE,"Rented",FALSE
"270","Illinois",878578,"M",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"653","New York",1327830,"M",NA,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"546","New Hampshire",1086785,"F",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"852","South Carolina",206122,"M",TRUE,"Married",TRUE,"Rented",FALSE
"76","California",1391586,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"37","Arkansas",1079462,"F",TRUE,"Never Married",TRUE,"Rented",FALSE
"360","Louisiana",705752,"F",TRUE,"Widowed",TRUE,"Rented",FALSE
"678","New York",1184851,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"437","Michigan",1048652,"F",NA,"Divorced/Separated",TRUE,"Rented",TRUE
"667","New York",683867,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"728","Ohio",1213329,"F",TRUE,"Divorced/Separated",TRUE,"Rented",TRUE
"303","Indiana",1273216,"M",NA,"Married",FALSE,"Rented",FALSE
"114","California",907824,"F",FALSE,"Never Married",FALSE,"Rented",FALSE
"550","New Jersey",1269422,"M",TRUE,"Never Married",TRUE,NA,NA
"341","Kansas",685624,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"752","Ohio",167498,"M",FALSE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"490","Mississippi",789913,"M",TRUE,"Married",TRUE,"Rented",FALSE
"123","California",169519,"F",TRUE,"Divorced/Separated",TRUE,"Rented",FALSE
"218","Georgia",445622,"F",NA,"Never Married",TRUE,"Rented",FALSE
"778","Oklahoma",1217985,"F",NA,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE
"344","Kentucky",1264817,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"664","New York",845421,"F",FALSE,"Married",TRUE,"Rented",FALSE
"43","California",1245912,"F",TRUE,"Married",TRUE,"Occupied with no rent",FALSE
"320","Indiana",1046317,"F",NA,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE
"445","Michigan",37224,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"542","New Hampshire",993668,"F",TRUE,"Never Married",TRUE,"Rented",TRUE
"825","Pennsylvania",792130,"F",NA,"Never Married",TRUE,"Homeowner free and clear",FALSE
"236","Georgia",303624,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"180","Connecticut",491848,"F",NA,"Widowed",TRUE,"Rented",FALSE
"72","California",26355,"M",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"151","California",487124,"M",TRUE,"Married",FALSE,"Rented",FALSE
